id,name,alias,tech,type,capacity,investment,active,bus_id,ch_eff,dch_eff,eini,emin,emax,pmin,pmax,lmin,lmax,inertia,powerfactor,ffr,pfr,res2,res3,fr_db,fr_ad,fr_dt,fr_frt,fr_fr,longitude,latitude,n,contingency,dischargecapacity,chargecapacity,energycapacity,chargeefficiency,dischargeefficiency,carryoverefficiency,failureprobability,repairprobability,inflow,gridwithdrawalcapacity,gridinjectioncapacity,,completion year
1,Adelaide Desalination Plant BESS,ADPBA1G,BESS,SHALLOW,6.27,0,1,11,0.916515,0.916515,0,0,12.6,0,6.27,0,6.27,0,1,1,0,1,0,0,0.3,0.05,1000,70,138.485435,-35.09807,1,0,6.27,6.27,12.6,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
2,Aldoga BESS Stage 1,Aldoga BESS Stage 1,BESS,SHALLOW,400,0,1,3,0.916515,0.916515,0,0,400,0,400,0,400,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
3,Ballarat Energy Storage System,BALBG1,BESS,SHALLOW,30,0,1,9,0.916515,0.916515,0,0,30,0,30,0,30,0,1,1,0,1,0,0,0.3,0.05,1000,70,143.91989,-37.5675,1,0,30,30,30,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
4,Blyth BESS,Blyth BESS,BESS,SHALLOW,200,0,1,11,0.916515,0.916515,0,0,400,0,200,0,200,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
5,Bolivar Waste Water Treatment BESS,BOWWBA1G,BESS,SHALLOW,2.46,0,1,11,0.916515,0.916515,0,0,5.04,0,2.46,0,2.46,0,1,1,0,1,0,0,0.3,0.05,1000,70,138.588705,-34.768521,1,0,2.46,2.46,5.04,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
6,Bouldercombe Battery project,BBATTERY,BESS,SHALLOW,50,0,1,2,0.916515,0.916515,0,0,100,0,50,0,50,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,50,50,100,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
7,Broken Hill BESS,Broken Hill BESS,BESS,SHALLOW,50,0,1,8,0.916515,0.916515,0,0,50,0,50,0,50,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,50,50,50,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
8,Bulgana Green Power Hub BESS,BULBESG1,BESS,SHALLOW,20,0,1,9,0.916515,0.916515,0,0,34,0,20,0,20,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,20,20,34,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
9,Bungama Solar BESS,Bungama Solar BESS,BESS,SHALLOW,150,0,1,11,0.916515,0.916515,0,0,300,0,150,0,150,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
10,Capital Battery,CAPBES1G,BESS,SHALLOW,100.32,0,1,8,0.916515,0.916515,0,0,200,0,100.32,0,100.32,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,100.32,100.32,200,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
11,Chinchilla BESS,Chinchilla BESS,BESS,SHALLOW,100,0,1,4,0.916515,0.916515,0,0,200,0,100,0,100,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,100,100,200,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
12,Christies Beach Wastewater Treatment Plant BESS,CBWWBA1G,BESS,SHALLOW,2.09,0,1,11,0.916515,0.916515,0,0,4.32,0,2.09,0,2.09,0,1,1,0,1,0,0,0.3,0.05,1000,70,138.471468,-35.125984,1,0,2.09,2.09,4.32,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
13,Dalrymple BESS,DALNTH01,BESS,SHALLOW,30,0,1,11,0.916515,0.916515,0,0,9,0,30,0,30,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,30,30,9,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
14,Darlington Point Energy Storage System,DPNTBG1,BESS,SHALLOW,25,0,1,8,0.916515,0.916515,0,0,50,0,25,0,25,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,25,25,50,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
15,Eraring Big Battery,Eraring Big Battery,BESS,SHALLOW,460,0,1,7,0.916515,0.916515,0,0,920,0,460,0,460,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,460,460,920,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
16,Gannawarra Energy Storage System,GANNBG1,BESS,SHALLOW,25.33,0,1,9,0.916515,0.916515,0,0,50,0,25.33,0,25.33,0,1,1,0,1,0,0,0.3,0.05,1000,70,143.78,-35.734,1,0,25.33,25.33,50,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
17,Gnarwarre BESS,Gnarwarre BESS,BESS,SHALLOW,290,0,1,9,0.916515,0.916515,0,0,550,0,290,0,290,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
18,Happy Valley Reservoir BESS,HVWWBA1G,BESS,SHALLOW,4.41,0,1,11,0.916515,0.916515,0,0,8.82,0,4.41,0,4.41,0,1,1,0,1,0,0,0.3,0.05,1000,70,138.567174,-35.065737,1,0,4.41,4.41,8.82,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
19,Hazelwood BESS,HBESSG1,BESS,SHALLOW,200.07,0,1,9,0.916515,0.916515,0,0,162,0,200.07,0,200.07,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,200.07,200.07,162,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
20,Hornsdale Power Reserve Unit 1,HPRG1,BESS,SHALLOW,150,0,1,11,0.916515,0.916515,0,0,178.3,0,150,0,150,0,1,1,0,1,0,0,0.3,0.05,1000,70,138.51834,-33.08587,1,0,150,150,178.3,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
21,Koorangie Energy Storage System,Koorangie Energy Storage System,BESS,SHALLOW,185,0,1,9,0.916515,0.916515,0,0,370,0,185,0,185,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
22,Lake Bonney BESS,LBBG1,BESS,SHALLOW,25,0,1,12,0.916515,0.916515,0,0,52,0,25,0,25,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,25,25,52,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
23,Liddell BESS,Liddell BESS,BESS,SHALLOW,500,0,1,6,0.921954,0.921954,0,0,2000,0,500,0,500,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.921954,0.921954,1,0.00046875,0.020833333,,,,,
24,Lincoln Gap Wind Farm BESS,Lincoln Gap Wind Farm BESS,BESS,SHALLOW,10,0,1,11,0.916515,0.916515,0,0,10,0,10,0,10,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
25,Lockhart Hybrid Facility - Battery,Lockhart Hybrid Facility - Battery,BESS,SHALLOW,10,0,1,8,0.916515,0.916515,0,0,20,0,10,0,10,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
26,Melbourne Renewable Energy Hub - Side A,Melbourne Renewable Energy Hub - Side A,BESS,SHALLOW,600,0,1,9,0.916515,0.916515,0,0,1600,0,600,0,600,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,600,600,1600,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
27,Mornington BESS,Mornington BESS,BESS,SHALLOW,240,0,1,9,0.916515,0.916515,0,0,480,0,240,0,240,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
28,Mortlake Battery,Mortlake Battery,BESS,SHALLOW,300,0,1,9,0.916515,0.916515,0,0,600,0,300,0,300,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
29,Mt Fox BESS,Mt Fox BESS,BESS,SHALLOW,300,0,1,1,0.916515,0.916515,0,0,600,0,300,0,300,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
30,New England Solar Farm BESS,New England Solar Farm BESS,BESS,SHALLOW,200,0,1,5,0.916515,0.916515,0,0,200,0,200,0,200,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
31,Orana BESS,Orana BESS,BESS,SHALLOW,408.48,0,1,6,0.916515,0.916515,0,0,1660,0,408.48,0,408.48,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
32,Philip Island BESS,PIBESSG1,BESS,SHALLOW,5,0,1,9,0.916515,0.916515,0,0,10,0,5,0,5,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,5,5,10,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
33,Queanbeyan BESS,QBYNBG1,BESS,SHALLOW,10,0,1,8,0.916515,0.916515,0,0,20,0,10,0,10,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,10,10,20,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
34,Quorn Park BESS,Quorn Park BESS,BESS,SHALLOW,27.6,0,1,6,0.916515,0.916515,0,0,40,0,27.6,0,27.6,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
35,Rangebank BESS,Rangebank BESS,BESS,SHALLOW,200,0,1,9,0.916515,0.916515,0,0,400,0,200,0,200,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,200,200,400,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
36,Richmond Valley BESS,Richmond Valley BESS,BESS,SHALLOW,275,0,1,5,0.911043,0.911043,0,0,2200,0,275,0,275,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.911043,0.911043,1,0.00046875,0.020833333,,,,,
37,Riverina Energy Storage System 1,RESS1G,BESS,SHALLOW,60,0,1,8,0.916515,0.916515,0,0,120,0,60,0,60,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,60,60,120,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
38,Riverina Energy Storage System 2,RIVNBG2,BESS,SHALLOW,65,0,1,8,0.916515,0.916515,0,0,130,0,65,0,65,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,65,65,130,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
39,Sapphire Wind Farm BESS,Sapphire Wind Farm Battery,BESS,SHALLOW,30,0,1,5,0.916515,0.916515,0,0,38,0,30,0,30,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
40,Stanwell BESS,Stanwell BESS,BESS,SHALLOW,150,0,1,2,0.916515,0.916515,0,0,300,0,150,0,150,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
41,Swanbank BESS,Swanbank BESS,BESS,SHALLOW,250,0,1,4,0.916515,0.916515,0,0,500,0,250,0,250,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
42,Tailem Bend Battery Project,TB2BG1,BESS,SHALLOW,41.5,0,1,11,0.916515,0.916515,0,0,84,0,41.5,0,41.5,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,41.5,41.5,84,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
43,Tamworth BESS,Tamworth BESS,BESS,SHALLOW,200,0,1,5,0.916515,0.916515,0,0,400,0,200,0,200,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
44,Tarong BESS,Tarong BESS,BESS,SHALLOW,300,0,1,4,0.916515,0.916515,0,0,300,0,300,0,300,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
45,Templers BESS,Templers BESS,BESS,SHALLOW,111,0,1,11,0.916515,0.916515,0,0,291,0,111,0,111,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
46,Terang BESS,TRGBESS,BESS,SHALLOW,101.5,0,1,9,0.916515,0.916515,0,0,200,0,101.5,0,101.5,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
47,Torrens Island BESS,TIBG1,BESS,SHALLOW,250.7,0,1,11,0.916515,0.916515,0,0,250,0,250.7,0,250.7,0,1,1,0,1,0,0,0.3,0.05,1000,70,143.78,-35.734,1,0,250.7,250.7,250,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
48,Ulinda Park BESS,Ulinda Park BESS,BESS,SHALLOW,154.96,0,1,4,0.916515,0.916515,0,0,298,0,154.96,0,154.96,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
49,Victorian Big Battery,VBBG1,BESS,SHALLOW,300,0,1,9,0.916515,0.916515,0,0,450,0,300,0,300,0,1,1,0,1,0,0,0.3,0.05,1000,70,144.291176,-38.037793,1,0,300,300,450,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
50,Wallgrove Grid Battery project,WALGRVG1,BESS,SHALLOW,50,0,1,7,0.916515,0.916515,0,0,75,0,50,0,50,0,1,1,0,1,0,0,0.3,0.05,1000,70,150.827752,-33.817668,1,0,50,50,75,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
51,Wandoan South BESS,WANDBG1,BESS,SHALLOW,100,0,1,4,0.916515,0.916515,0,0,150,0,100,0,100,0,1,1,0,1,0,0,0.3,0.05,1000,70,149.766329,-26.261992,1,0,100,100,150,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
52,Waratah Super Battery,WARATAH,BESS,SHALLOW,850.18,0,1,7,0.916515,0.916515,0,0,1679,0,850.18,0,850.18,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,1,0,850.18,850.18,1679,0.916515,0.916515,1,0.000706334,0.038387716,,,,,
53,Western Downs Battery,Western Downs Battery,BESS,SHALLOW,336,0,1,4,0.916515,0.916515,0,0,400,0,336,0,336,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.916515,0.916515,1,0.00046875,0.020833333,,,,,
54,Wooreen Energy Storage System,Wooreen Battery,BESS,SHALLOW,350,0,1,9,0.921954,0.921954,0,0,1400,0,350,0,350,0,1,1,0,1,0,0,0.3,0.05,1000,70,0,0,0,0,0,0,0,0.921954,0.921954,1,0.00046875,0.020833333,,,,,
55,Borumba,BORUMBA,PS,DEEP,1998,0,1,4,0.87178,0.87179,10,10,47952,0,1998,0,1998,2.2,0.85,0,1,1,0,0,0,0,0,70,152.5489,-26.55136,0,0,0,0,0,0.87178,0.87179,0.995,0.00037037,0.037037037,,0,0,,2033 at earliest
56,Kidston ,KIDSTON,PS,MEDIUM,325,0,1,1,0.894427,0.894427,10,10,1500,0,325,0,250,2.2,0.85,0,1,1,0,0,0,0,0,70,144.146338,-18.887632,0,0,325,250,1500,0.894427,0.894427,0.995,0.00037037,0.037037037,,250,325,,mid 2025
57,Shoalhaven,SHGEN,PS,DEEP,240,0,1,6,0.83666,0.83666,10,10,15360,0,240,0,240,2.2,0.85,0,1,1,0,0,0,0,0,70,150.46687,-34.73369,1,0,240,240,15360,0.83666,0.83666,0.995,0.00037037,0.037037037,,240,240,,
58,Snowy 2.0,SNOWY2,PS,DEEP,2040,0,1,8,0.87178,0.87178,10,10,342720,0,2040,0,2040,2.2,0.85,0,1,1,0,0,0,0,0,70,148.470868,-35.783093,0,0,2040,2040,342720,0.87178,0.87178,0.995,0.00037037,0.037037037,,2040,2040,,2028
59,Tumut 3,TUMUT3,PS,DEEP,1800,0,1,8,0.883176,0.883176,10,10,60000,0,1800,0,600,2.2,0.85,0,1,1,0,0,0,0,0,70,148.291685,-35.611218,1,0,1800,600,60000,0.883176,0.883176,0.995,0.00037037,0.037037037,,600,1800,,
60,Wivenhoe,WHOE1,PS,MEDIUM,570,0,1,4,0.83666,0.83666,10,10,5700,0,570,0,570,2.2,0.85,0,1,1,0,0,0,0,0,70,152.609153,-27.395212,1,0,570,570,5700,0.83666,0.83666,0.995,0.00037037,0.037037037,,570,570,,
61,Cethana,BOTN,PS,DEEP,750,0,0,10,0.87178,0.87178,10,10,15000,0,750,0,750,2.2,0.85,0,1,1,0,0,0,0,0,70,146.134505,-41.481144,1,0,0,0,0,0.87178,0.87178,0.995,0.00037037,0.037037037,,0,0,,2031
