Reference Year (FYE),Location,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun
2011,Snowy,865.691285,527.610706,566.5133629,663.1502902,347.2690356,485.6216651,380.4838529,375.3991881,113.0973635,371.6623656,498.0600173,861.1938524
2012,Snowy,682.0510516,421.4804732,446.6443767,504.7128987,244.1462029,340.1258742,300.0529676,294.2976636,88.48540065,290.870738,391.5819597,677.1747321
2013,Snowy,549.7986581,331.7523218,348.0947,386.6747367,181.5982246,270.4207883,241.4824501,239.2594334,72.18480989,237.1639119,316.7907948,547.7091056
2014,Snowy,512.9528193,324.3204724,357.6385219,439.9052234,249.8547116,317.6532027,226.0187224,219.4749467,65.76176344,216.2861983,293.4551124,507.5973607
2015,Snowy,475.3410192,282.5933471,295.9448911,328.7136525,155.3044337,238.8955925,208.5734669,207.9291216,62.86220676,206.4700162,274.4905141,474.5079913
2016,Snowy,665.0773972,393.5351575,408.673848,445.0444021,201.0191415,319.1450879,291.7369966,291.3964557,88.15317665,289.5097741,384.3199594,664.3393416
2017,Snowy,670.3906846,413.2341099,441.0653389,507.4710837,255.5108356,353.3878797,294.8726483,289.530019,87.08412875,286.248423,385.0354939,665.8372136
2018,Snowy,640.1974786,383.8115629,401.0827585,441.9137038,204.1450753,310.8314216,281.0664226,279.2292432,84.32006532,276.9965474,369.231969,638.3368868
2019,Snowy,482.1981624,289.0877214,302.0964243,332.8503829,153.762524,234.1189169,211.6998535,210.3160859,63.51006042,208.6344145,278.1063388,480.7967605
2020,Snowy,555.0750838,332.7789355,347.753706,383.155658,177.0013918,269.5024319,243.6950679,242.1021649,73.1086405,240.1663344,320.1378839,553.4618813
2021,Snowy,621.0917694,372.3572971,389.1130604,428.7254689,198.0526795,301.5551358,272.6784274,270.8960758,81.80366264,268.7300114,358.2128087,619.2867041
2022,Snowy,818.0327922,490.427493,512.4963153,564.6693608,260.8528954,397.1747846,359.1416057,356.794091,107.7426587,353.9411926,471.7979508,815.6553615
Dry,Snowy,171.4276211,99.92415948,103.0243101,110.6798031,48.66359924,81.24302456,75.12341904,75.49219835,22.88394379,75.1319059,99.27578149,171.5852784
Average,Snowy,628.1581834,380.2491332,401.426442,452.2489052,219.043096,319.8693984,275.9585402,273.0520407,82.34282811,270.5566606,361.7684002,625.4914326
2011,TAS,982.1064953,1510.952074,1501.259675,882.6176526,778.4281024,829.4744546,489.7261014,308.092904,608.5586587,549.757764,501.0766573,1427.6891
2012,TAS,1450.619851,1683.983382,1036.80697,657.0437092,667.7884565,287.2053725,128.789723,116.9636274,404.5966206,573.5907946,1122.723457,1121.397818
2013,TAS,971.4607362,1433.576599,1373.691769,676.8669525,292.5323191,241.8663222,72.58111448,24.58472926,321.4089227,425.5436093,777.080893,505.2903085
2014,TAS,1526.377001,2534.792884,1316.293438,1673.448775,772.0571561,460.1077526,314.5188371,112.8908059,241.623985,519.1388445,927.4249486,843.928039
2015,TAS,1379.577972,1103.054817,696.0690592,732.2548154,447.3389099,269.2250626,391.2981702,61.08874141,440.5098324,230.7883568,1405.986955,1024.240343
2016,TAS,1064.106917,1397.35109,668.5228051,171.5470365,203.5750949,203.9500786,150.3885214,141.8675717,168.0803405,335.7619632,2049.806974,2052.678652
2017,TAS,2200.930232,1443.369141,943.4580511,1975.938648,996.381023,404.0090644,190.581657,199.9556357,118.5767697,271.8703205,712.9214814,577.7077363
2018,TAS,1164.958952,1395.228718,1636.484488,799.0718399,283.3647188,423.0630302,84.68221653,206.7748789,531.5248117,607.4844549,965.1239747,1075.217659
2019,TAS,2031.924261,1754.91719,981.739177,315.4639165,506.856932,387.0933838,-11.47676485,205.9507533,241.2012371,616.4932571,944.1091864,1106.922583
2020,TAS,2287.644109,1316.049286,853.3929292,396.2097152,854.4044739,660.0898884,180.614357,176.6029564,462.1835076,1124.205496,1002.667372,910.0462313
2021,TAS,768.0262889,946.3276615,920.8133531,1160.451338,202.8511472,378.7451401,148.2793965,409.7632597,372.3784829,685.8273839,783.8579206,950.9283783
2022,TAS,1582.963744,1782.309436,1288.860299,1346.404019,690.6256007,136.5791499,161.5961932,24.7728024,140.0134624,228.9922184,893.3144474,1163.38938
Dry,TAS,987.6400598,832.6914491,998.7018445,605.5409194,237.8378617,156.9579347,259.5781196,27.72555574,167.7432475,138.0340392,1356.830646,537.6442016
Average,TAS,1450.89138,1525.159357,1101.449335,898.9432015,558.0169945,390.1173917,191.7982936,165.7757222,337.5547193,514.1212053,1007.174522,1063.286352
Fixed,DARTM1,55.63276398,65.43234338,66.30453833,56.37796724,32.64928739,26.35390809,16.01675603,15.88319386,17.69397681,11.57332381,22.31464449,34.40651917
Fixed,EILDON1,42.7075737,55.5741832,40.1303768,27.50122293,12.11873663,11.75730216,3.658451775,2.821801658,4.092312561,4.309414621,11.14189302,25.96296955
Fixed,HUMEV,15.11331633,16.86167193,16.86567181,15.62333216,10.50345605,9.004059711,6.956748496,7.755238355,8.016303101,5.55967347,7.614970611,10.90662711
Fixed,HUMENSW,15.11331633,16.86167193,16.86567181,15.62333216,10.50345605,9.004059711,6.956748496,7.755238355,8.016303101,5.55967347,7.614970611,10.90662711
Fixed,MCKAY1,45.82768164,55.15344434,49.96224665,41.03659746,23.44546834,20.00372855,11.97268993,12.1961011,13.48054093,9.624890193,17.35428969,29.29402917
Fixed,WKIEWA1,10.38677661,12.50044701,11.32386969,9.300884432,5.313880901,4.533815641,2.713592555,2.764228369,3.055344767,2.1814672,3.933324223,6.639448608
Fixed,BARRON-1,14.31966038,12.9075371,8.827072453,7.483368617,5.20354831,18.92821302,68.28292654,78.77198431,110.1149868,43.30210195,20.10341641,15.28837202
Fixed,KAREEYA1,36.30533676,73.64061215,63.54056879,51.23944691,36.38009037,45.05981512,15.70656413,21.81101341,22.91613455,16.94415168,22.65864989,40.36694959
Fixed,BORUMBA,0,0,0,0,0,0,0,0,0,0,0,0
Fixed,KIDSTON,0,0,0,0,0,0,0,0,0,0,0,0
Fixed,SHGEN,0,0,0,0,0,0,0,0,0,0,0,0
Fixed,SNOWY2,0,0,0,0,0,0,0,0,0,0,0,0
Fixed,WHOE1,0,0,0,0,0,0,0,0,0,0,0,0
Fixed,BOTN,0,0,0,0,0,0,0,0,0,0,0,0
