id_gen,name,alias,fuel,tech,type,capacity,forate,fullout,partialout,derate,mttrfull,mttrpart,id_bus,pmin,pmax,rup,rdw,investment,active,cvar,cfuel,cvom,cfom,co2,slope,hrate,pfrmax,g,inertia,ffr,pfr,res2,res3,powerfactor,latitude,longitude,n,contingency,down_time,up_time,last_state,last_state_period,last_state_output,start_up_cost,shut_down_cost,start_up_time,shut_down_time
1,Bayswater,BW01,Coal,Black Coal NSW,Steam Sub Critical,678.75,0.6745236000000001,0.0631,0.3146,0.166,157.62,33.97,6,250,678.75,4.0,4.0,0,1,23.190780386242608,1.914484288447552,5.101165062328734,0.0645,889.2019557080466,0.3,9.448818897637794,67.875,0.0,4.0,0,1,1,0,0.85,0.0,0.0,4,1,0.0,8,0.0,0.0,0.0,62962.96874864868,0.0,0.0,0.0
2,Callide B,CALL_B_1,Coal,Black Coal QLD,Steam Sub Critical,350.0,0.83625576,0.0675,0.1286,0.2516,185.0,56.42,2,155,350.0,4.0,4.0,0,1,26.341339553078548,2.327174809826572,5.023707707338957,0.06348,942.8409057825446,0.3,9.160305343511451,35.0,0.0,4.0,0,1,1,0,0.85,0.0,0.0,2,1,0.0,8,0.0,0.0,0.0,36877.875374309966,0.0,0.0,0.0
3,Callide C,CPP_3,Coal,Black Coal QLD,Steam Super Critical,422.0,0.83625576,0.0675,0.1286,0.2516,185.0,56.42,2,180,422.0,4.0,4.0,0,1,26.671845473167533,2.327174809826572,5.023707707338957,0.06348,873.952738112746,0.3,9.30232558139535,42.2,0.0,4.0,0,1,1,0,0.85,0.0,0.0,2,1,0.0,8,0.0,0.0,0.0,45022.07515870679,0.0,0.0,0.0
4,Eraring,ER01,Coal,Black Coal NSW,Steam Sub Critical,720.0,0.6745236000000001,0.0631,0.3146,0.166,157.62,33.97,7,210,720.0,5.0,5.0,0,1,43.36174186961772,4.006732626763319,5.101165062328734,0.0645,878.937979925076,0.3,9.549071618037134,72.0,0.0,4.0,0,1,1,0,0.85,0.0,0.0,4,1,0.0,8,0.0,0.0,0.0,124881.81658449903,0.0,0.0,0.0
5,Gladstone,GSTONE1,Coal,Black Coal QLD,Steam Sub Critical,280.0,0.83625576,0.0675,0.1286,0.2516,185.0,56.42,3,110,280.0,5.0,5.0,0,1,38.44631451364511,3.5279418295545386,5.023707707338957,0.06348,985.8045036566772,0.3,9.473684210526315,28.0,0.0,4.0,0,1,1,0,0.85,0.0,0.0,6,1,0.0,8,0.0,0.0,0.0,43059.87225528253,0.0,0.0,0.0
6,Kogan Creek,KPP_1,Coal,Black Coal QLD,Steam Super Critical,744.0,0.83625576,0.0675,0.1286,0.2516,185.0,56.42,4,330,744.0,8.0,8.0,0,1,18.98608976509926,1.5862817393399895,5.023707707338957,0.06348,861.9335194223072,0.3,8.80195599022005,74.4,0.0,4.0,0,1,1,0,0.85,0.0,0.0,1,1,0.0,8,0.0,0.0,0.0,56502.6031409354,0.0,0.0,0.0
7,Loy Yang A Power Station,LYA1,Coal,Brown Coal VIC,Steam Sub Critical,552.5,0.82760396,0.0775,0.1156,0.1791,90.05,12.2,9,300,552.5,5.0,5.0,0,1,14.019853824653358,0.7593421468618192,4.784611497955559,0.16363999999999998,1168.8606403491956,0.3,12.16216216216216,55.25,0.0,4.0,0,1,1,0,0.85,0.0,0.0,4,1,0.0,16,0.0,0.0,0.0,30983.876952483923,0.0,0.0,0.0
8,Loy Yang B,LOYYB1,Coal,Brown Coal VIC,Steam Sub Critical,580.0,0.82760396,0.0775,0.1156,0.1791,90.05,12.2,9,320,580.0,10.0,10.0,0,1,14.309460726884302,0.7593421468618192,4.784611497955559,0.16363999999999998,1111.1527514656036,0.3,12.543554006968641,58.0,0.0,4.0,0,1,1,0,0.85,0.0,0.0,2,1,0.0,16,0.0,0.0,0.0,33197.94888637158,0.0,0.0,0.0
9,Millmerran,MPP_1,Coal,Black Coal QLD,Steam Super Critical,426.0,0.83625576,0.0675,0.1286,0.2516,185.0,56.42,4,200,426.0,5.0,5.0,0,1,18.395779037704806,1.4523555250480684,5.023707707338957,0.06348,825.2498618115156,0.3,9.207161125319693,42.6,0.0,4.0,0,1,1,0,0.85,0.0,0.0,2,1,0.0,8,0.0,0.0,0.0,31346.40748024899,0.0,0.0,0.0
10,Mt Piper,MP1,Coal,Black Coal NSW,Steam Sub Critical,695.0,0.6745236000000001,0.0631,0.3146,0.166,157.62,33.97,6,270,695.0,3.0,3.0,0,1,42.18146700666794,4.006732626763319,5.101165062328734,0.0645,801.1644115332886,0.3,9.254498714652957,69.5,0.0,4.0,0,1,1,0,0.85,0.0,0.0,2,1,0.0,8,0.0,0.0,0.0,117264.47827853686,0.0,0.0,0.0
