id,id_ess,scenario,date,value
1,2,1,2025-11-01T00:00:00.0,1
2,2,2,2025-11-01T00:00:00.0,1
3,2,3,2025-11-01T00:00:00.0,1
4,4,1,2024-12-01T00:00:00.0,1
5,4,2,2024-12-01T00:00:00.0,1
6,4,3,2024-12-01T00:00:00.0,1
7,9,1,2025-10-01T00:00:00.0,1
8,9,2,2025-10-01T00:00:00.0,1
9,9,3,2025-10-01T00:00:00.0,1
10,17,1,2026-01-01T00:00:00.0,1
11,17,2,2026-01-01T00:00:00.0,1
12,17,3,2026-01-01T00:00:00.0,1
13,21,1,2025-04-01T00:00:00.0,1
14,21,2,2025-04-01T00:00:00.0,1
15,21,3,2025-04-01T00:00:00.0,1
16,23,1,2025-07-01T00:00:00.0,1
17,23,2,2025-07-01T00:00:00.0,1
18,23,3,2025-07-01T00:00:00.0,1
19,24,1,2024-04-01T00:00:00.0,1
20,24,2,2024-04-01T00:00:00.0,1
21,24,3,2024-04-01T00:00:00.0,1
22,25,1,2025-04-01T00:00:00.0,1
23,25,2,2025-04-01T00:00:00.0,1
24,25,3,2025-04-01T00:00:00.0,1
25,27,1,2026-01-01T00:00:00.0,1
26,27,2,2026-01-01T00:00:00.0,1
27,27,3,2026-01-01T00:00:00.0,1
28,28,1,2027-03-01T00:00:00.0,1
29,28,2,2027-03-01T00:00:00.0,1
30,28,3,2027-03-01T00:00:00.0,1
31,29,1,2026-11-01T00:00:00.0,1
32,29,2,2026-11-01T00:00:00.0,1
33,29,3,2026-11-01T00:00:00.0,1
34,30,1,2026-12-01T00:00:00.0,1
35,30,2,2026-12-01T00:00:00.0,1
36,30,3,2026-12-01T00:00:00.0,1
37,31,1,2026-12-01T00:00:00.0,1
38,31,2,2026-12-01T00:00:00.0,1
39,31,3,2026-12-01T00:00:00.0,1
40,34,1,2025-12-01T00:00:00.0,1
41,34,2,2025-12-01T00:00:00.0,1
42,34,3,2025-12-01T00:00:00.0,1
43,36,1,2026-10-01T00:00:00.0,1
44,36,2,2026-10-01T00:00:00.0,1
45,36,3,2026-10-01T00:00:00.0,1
46,39,1,2024-12-01T00:00:00.0,1
47,39,2,2024-12-01T00:00:00.0,1
48,39,3,2024-12-01T00:00:00.0,1
49,40,1,2027-03-01T00:00:00.0,1
50,40,2,2027-03-01T00:00:00.0,1
51,40,3,2027-03-01T00:00:00.0,1
52,41,1,2026-01-01T00:00:00.0,1
53,41,2,2026-01-01T00:00:00.0,1
54,41,3,2026-01-01T00:00:00.0,1
55,43,1,2026-11-01T00:00:00.0,1
56,43,2,2026-11-01T00:00:00.0,1
57,43,3,2026-11-01T00:00:00.0,1
58,44,1,2024-09-01T00:00:00.0,1
59,44,2,2024-09-01T00:00:00.0,1
60,44,3,2024-09-01T00:00:00.0,1
61,45,1,2025-05-01T00:00:00.0,1
62,45,2,2025-05-01T00:00:00.0,1
63,45,3,2025-05-01T00:00:00.0,1
64,46,1,2025-12-01T00:00:00.0,1
65,46,2,2025-12-01T00:00:00.0,1
66,46,3,2025-12-01T00:00:00.0,1
67,48,1,2024-12-01T00:00:00.0,1
68,48,2,2024-12-01T00:00:00.0,1
69,48,3,2024-12-01T00:00:00.0,1
70,53,1,2025-01-01T00:00:00.0,1
71,53,2,2025-01-01T00:00:00.0,1
72,53,3,2025-01-01T00:00:00.0,1
73,54,1,2026-12-01T00:00:00.0,1
74,54,2,2026-12-01T00:00:00.0,1
75,54,3,2026-12-01T00:00:00.0,1
76,55,1,2031-09-01T00:00:00.0,1
77,55,2,2031-09-01T00:00:00.0,1
78,55,3,2031-09-01T00:00:00.0,1
79,56,1,2025-02-01T00:00:00.0,1
80,56,2,2025-02-01T00:00:00.0,1
81,56,3,2025-02-01T00:00:00.0,1
82,58,1,2028-12-01T00:00:00.0,1
83,58,2,2028-12-01T00:00:00.0,1
84,58,3,2028-12-01T00:00:00.0,1
